Scenario            Date
Default             2018-12-17
High Volume         2019-03-15
High Volume         2019-05-28
High Volume         2019-06-21
High Volume         2019-06-28
High Volume         2019-09-20
High Volume         2019-12-20
Low Volume          2019-07-03
Low Volume          2019-07-10
Low Volume          2019-10-14
Low Volume          2019-11-29
Low Volume          2019-12-24
Low Volume          2019-12-26
High Volatility     2018-02-06
High Volatility     2018-02-08
High Volatility     2018-02-09
High Volatility     2018-02-12
High Volatility     2018-12-20
High Volatility     2018-12-21
High Volatility     2018-12-24
High Volatility     2018-12-26
High Volatility     2018-12-27
High Volatility     2019-01-03
High Volatility     2019-01-04
High Volatility     2019-01-07
High Volatility     2019-05-13
High Volatility     2019-08-05
High Volatility     2019-08-14
Low Volatility      2018-01-02
Low Volatility      2018-01-03
Low Volatility      2018-01-04
Low Volatility      2018-01-05
Low Volatility      2018-01-08
Low Volatility      2018-01-09
Low Volatility      2018-01-10
Low Volatility      2018-01-11
Low Volatility      2018-01-12
Low Volatility      2019-04-18
Low Volatility      2019-07-12
Low Volatility      2019-07-15
Low Volatility      2019-11-15
Low Volatility      2019-12-17
Low Volatility      2019-12-19
Market Up           2018-02-26
Market Up           2018-03-09
Market Up           2018-03-26
Market Up           2018-04-03
Market Up           2018-04-10
Market Up           2018-10-16
Market Up           2018-10-25
Market Up           2018-10-30
Market Up           2018-11-07
Market Up           2019-01-04
Market Up           2019-01-18
Market Up           2019-01-30
Market Up           2019-02-15
Market Up           2019-06-04
Market Up           2019-06-18
Market Down         2018-02-02
Market Down         2018-02-05
Market Down         2018-03-22
Market Down         2018-04-06
Market Down         2018-10-10
Market Down         2018-10-24
Market Down         2018-11-12
Market Down         2018-11-20
Market Down         2018-12-04
Market Down         2019-01-03
Market Down         2019-05-07
Market Down         2019-05-13
Market Down         2019-08-05
Market Down         2019-08-14
Market Down         2019-10-02
Financial Crisis    2008-10-20
Financial Crisis    2008-10-21
Financial Crisis    2008-10-22
Financial Crisis    2008-10-23
Financial Crisis    2008-10-24
Financial Crisis    2008-10-27
Financial Crisis    2008-10-28
Financial Crisis    2008-10-29
Financial Crisis    2008-10-30
Flash Crash         2013-04-23
Flash Crash         2018-02-05
Flash Crash         2018-02-05
Flash Crash         2018-02-09
Flash Crash         2018-10-10
Flash Crash         2018-10-11
