sp,mid,ask_5,ask_4,ask_3,ask_2,ask_1,bid_1,bid_2,bid_3,bid_4,bid_5
0.71,99.825,0,0,0,0,1,1,1,1,1,1
0.65,99.855,1,1,1,1,1,1,1,1,1,0
0.63,99.805,1,1,1,1,1,1,1,1,1,1
0.63,99.825,1,1,1,1,1,1,1,1,1,1
0.63,99.845,1,1,1,1,1,1,1,1,1,1
0.63,99.865,1,1,1,1,1,1,1,1,1,1
0.69,99.835,1,1,1,1,1,1,1,0,0,0
100.12,50.06,1,1,1,1,1,0,0,0,0,0
0.63,99.705,1,1,1,1,1,1,1,1,1,1
-99.33,49.665,0,0,0,0,0,1,0,0,0,0
0.63,99.605,1,1,1,1,1,1,1,1,1,1
0.63,99.565,1,1,1,1,1,1,1,1,1,1
0.63,99.525,1,1,1,1,1,1,1,1,1,1
0.65,99.535,0,1,1,1,1,1,1,1,1,1
0.63,99.545,1,1,1,1,1,1,1,1,1,1
0.63,99.465,1,1,1,1,1,1,1,1,1,1
0.63,99.445,1,1,1,1,1,1,1,1,1,1
0.63,99.405,1,1,1,1,1,1,1,1,1,1
0.63,99.365,0,0,1,1,1,1,1,1,1,1
0.63,99.365,1,1,1,1,1,1,1,1,1,1
0.63,99.285,1,1,1,1,1,1,1,1,1,1
0.63,99.205,1,1,1,1,1,1,1,1,1,1
0.63,99.225,0,0,1,1,1,1,1,1,1,1
0.63,99.305,0,1,1,1,1,1,1,1,1,1
0.63,99.405,1,1,1,1,1,1,1,1,1,1
0.71,99.445,0,0,0,0,1,1,1,1,1,1
0.63,99.485,0,1,1,1,1,1,1,1,1,1
-99.17,49.585,0,0,0,0,0,1,1,1,0,0
-99.23,49.615,0,0,0,0,0,1,0,0,0,0
0.71,99.585,0,0,0,0,1,1,0,0,0,0
0.69,99.535,0,0,0,0,1,1,1,0,0,0
0.63,99.505,1,1,1,1,1,1,1,1,1,1
-99.19,49.595,0,0,0,0,0,1,1,1,1,1
0.69,99.555,0,0,1,1,1,1,1,0,0,0
0.69,99.495,0,0,1,1,1,1,1,0,0,0
-99.15,49.575,0,0,0,0,0,1,1,1,1,1
-99.25,49.625,0,0,0,0,0,1,1,1,1,1
99.98,49.99,1,1,1,1,1,0,0,0,0,0
