Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DWDP,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
1/3/2000,2.665724,34.869087,26.35881,12.300073,42.991379,18.156607,23.368179,22.249168,72.221809,45.032944,79.153915,28.52257,27.902571,27.468323,12.459606,24.545179,27.292488,32.821377,42.115314,1.84397,16.795362,29.327038,20.207718,5.768317,19.540533,NA,21.597361,21.708973,47.339832,22.653996
1/4/2000,2.440975,33.552498,26.317812,12.141972,40.579487,18.156607,24.737026,21.641035,67.672813,42.65826,76.467079,27.190701,26.881054,26.941799,12.473414,24.041889,26.208023,31.668682,40.692646,1.743389,16.169664,28.762737,19.939821,5.694536,18.739374,NA,20.899227,20.901413,45.568455,22.220081
1/5/2000,2.476697,32.818943,27.957567,12.42655,40.45517,18.482288,25.763666,22.343525,64.503822,43.521778,79.153915,27.416103,27.164806,26.775501,12.583924,24.429031,26.96715,32.91238,41.121727,1.84397,16.433115,28.215521,19.786736,5.68112,18.368109,NA,21.597361,21.138927,44.638489,23.431423
1/6/2000,2.262367,33.487564,28.244511,13.058942,39.783817,19.269337,24.737026,22.972622,67.263885,41.44931,77.7892,25.817842,28.016066,27.155628,12.597735,24.080599,29.136089,33.185398,39.744217,1.834391,17.025883,29.515144,20.169451,5.889048,19.247421,NA,21.50322,20.521389,45.125614,24.642776
1/7/2000,2.369532,33.975121,29.064381,13.48581,42.121117,19.608587,24.34593,23.486397,67.519463,43.86721,77.448021,26.883339,29.20784,27.65456,13.426536,24.700037,29.714483,36.370434,40.263588,1.834391,18.17852,31.874987,20.973156,6.579904,20.009506,NA,21.34445,21.043924,48.535496,24.570457
1/10/2000,2.327857,34.448715,28.654434,13.043135,43.687595,19.079357,28.061373,22.888756,69.001717,43.651321,80.518608,28.112753,28.470095,27.179388,12.998322,24.816183,29.569895,35.308754,40.557178,1.865523,18.145582,31.721079,20.590445,6.465879,20.20492,NA,21.231039,21.661465,47.649811,24.22695
1/11/2000,2.208785,34.769112,28.121534,12.837605,42.369766,18.90295,28.354702,22.668568,69.359535,42.528725,81.200981,29.403652,28.564661,26.537928,13.440347,25.396904,29.063784,35.430092,39.518398,1.958919,17.915052,32.216999,20.360811,6.479294,19.735945,NA,21.032543,22.51652,46.941265,24.299259
1/12/2000,2.076318,34.588028,28.244511,13.058942,41.300568,18.8351,26.350315,23.108934,69.001717,42.183304,81.542168,29.915926,28.299824,26.704227,13.592298,26.480925,29.136089,36.127792,38.231228,1.891864,18.507837,32.011787,20.399086,6.418928,20.185369,NA,20.323719,22.991568,46.099857,24.154619
1/13/2000,2.304043,34.769112,27.793585,13.201235,42.245438,19.011513,27.230286,23.150875,69.103981,42.917328,80.689217,29.854437,28.261992,27.10813,13.385092,26.209915,29.136089,36.279453,38.953846,1.915812,19.49579,31.464582,20.820078,6.620149,20.400328,NA,20.164951,22.944056,46.144157,24.715101
1/14/2000,2.391858,35.549202,28.859407,13.137992,42.792461,18.889376,26.252537,23.318636,70.024002,42.787796,81.627472,33.788578,28.356586,28.082212,13.495607,26.393766,28.720379,35.976105,40.557178,1.966102,19.49579,32.011787,20.820078,6.613442,19.950891,NA,20.437132,22.374014,45.701302,24.22695
