Attributes,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,,Dates,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,,Dates,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,,Dates,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,,Dates,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,,Dates,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
Symbols,AAPL UW Equity,AXP UN Equity,BA UN Equity,CAT UN Equity,CSCO UW Equity,CVX UN Equity,DIS UN Equity,DWDP UN Equity,GS UN Equity,HD UN Equity,IBM UN Equity,INTC UW Equity,JNJ UN Equity,JPM UN Equity,KO UN Equity,MCD UN Equity,MMM UN Equity,MRK UN Equity,MSFT UW Equity,NKE UN Equity,PFE UN Equity,PG UN Equity,TRV UN Equity,UNH UN Equity,UTX UN Equity,V UN Equity,VZ UN Equity,WBA UW Equity,WMT UN Equity,XOM UN Equity,,,AAPL UW Equity,AXP UN Equity,BA UN Equity,CAT UN Equity,CSCO UW Equity,CVX UN Equity,DIS UN Equity,DWDP UN Equity,GS UN Equity,HD UN Equity,IBM UN Equity,INTC UW Equity,JNJ UN Equity,JPM UN Equity,KO UN Equity,MCD UN Equity,MMM UN Equity,MRK UN Equity,MSFT UW Equity,NKE UN Equity,PFE UN Equity,PG UN Equity,TRV UN Equity,UNH UN Equity,UTX UN Equity,V UN Equity,VZ UN Equity,WBA UW Equity,WMT UN Equity,XOM UN Equity,,,AAPL UW Equity,AXP UN Equity,BA UN Equity,CAT UN Equity,CSCO UW Equity,CVX UN Equity,DIS UN Equity,DWDP UN Equity,GS UN Equity,HD UN Equity,IBM UN Equity,INTC UW Equity,JNJ UN Equity,JPM UN Equity,KO UN Equity,MCD UN Equity,MMM UN Equity,MRK UN Equity,MSFT UW Equity,NKE UN Equity,PFE UN Equity,PG UN Equity,TRV UN Equity,UNH UN Equity,UTX UN Equity,V UN Equity,VZ UN Equity,WBA UW Equity,WMT UN Equity,XOM UN Equity,,,AAPL UW Equity,AXP UN Equity,BA UN Equity,CAT UN Equity,CSCO UW Equity,CVX UN Equity,DIS UN Equity,DWDP UN Equity,GS UN Equity,HD UN Equity,IBM UN Equity,INTC UW Equity,JNJ UN Equity,JPM UN Equity,KO UN Equity,MCD UN Equity,MMM UN Equity,MRK UN Equity,MSFT UW Equity,NKE UN Equity,PFE UN Equity,PG UN Equity,TRV UN Equity,UNH UN Equity,UTX UN Equity,V UN Equity,VZ UN Equity,WBA UW Equity,WMT UN Equity,XOM UN Equity,,,AAPL UW Equity,AXP UN Equity,BA UN Equity,CAT UN Equity,CSCO UW Equity,CVX UN Equity,DIS UN Equity,DWDP UN Equity,GS UN Equity,HD UN Equity,IBM UN Equity,INTC UW Equity,JNJ UN Equity,JPM UN Equity,KO UN Equity,MCD UN Equity,MMM UN Equity,MRK UN Equity,MSFT UW Equity,NKE UN Equity,PFE UN Equity,PG UN Equity,TRV UN Equity,UNH UN Equity,UTX UN Equity,V UN Equity,VZ UN Equity,WBA UW Equity,WMT UN Equity,XOM UN Equity,,,AAPL UW Equity,AXP UN Equity,BA UN Equity,CAT UN Equity,CSCO UW Equity,CVX UN Equity,DIS UN Equity,DWDP UN Equity,GS UN Equity,HD UN Equity,IBM UN Equity,INTC UW Equity,JNJ UN Equity,JPM UN Equity,KO UN Equity,MCD UN Equity,MMM UN Equity,MRK UN Equity,MSFT UW Equity,NKE UN Equity,PFE UN Equity,PG UN Equity,TRV UN Equity,UNH UN Equity,UTX UN Equity,V UN Equity,VZ UN Equity,WBA UW Equity,WMT UN Equity,XOM UN Equity
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,110.38,93.04,129.98,91.53,27.815,112.18,94.19,45.61,193.83,104.97,160.44,36.29,104.57,62.58,42.22,93.7,164.32,56.79,46.45,48.075,31.15,91.09,105.85,101.09,115,65.55,46.78,76.2,85.88,92.45,,1/2/2015,111.44,93.94,131.83,92.37,28.11,113,95.27,46.029,195.73,105.6,163.3,37.15,105.54,62.96,42.4,94.99,165.08,57.79,47.42,48.47,31.77,91,106.63,102.57,115.6,66.6675,47.22,77.11,86.71,93.05,,1/2/2015,107.35,92.15,129.1,90.67,27.385,110.89,92.85,45.29,192.78,102.68,161,36.115,104.13,62.08,41.81,93.06,162.73,57.03,46.54,47.06,31.22,89.92,104.96,100.02,113.8,65.6525,46.91,75.1,85.55,91.81,,1/2/2015,111.41,93.36,130.93,91.77,27.86,111.75,95,45.72,195.3,105.3,161.44,36.69,105.27,62.64,42.29,94.15,164.09,57.32,46.66,48.275,31.35,91,106.45,101.5,115.14,66.0675,47.08,76.11,86.26,92.26,,1/2/2015,14781833,772979,838216,885198,6826100,1785653,1903225,1164349,472170,1121580,1566645,6723101,1752063,3162748,2992098,1366064,710350,2252356,8934193,1380426,4819704,2119310,407301,863236,941492,2310008,2974250,2136720,1150636,2970478,,1/2/2015,101.9636307,87.30088806,116.0711899,79.71826935,24.42514229,95.48141479,88.44410706,40.41511154,184.0556488,94.89626312,136.8546143,32.41556549,93.68027496,56.52378464,36.93696213,83.15397644,148.1774445,50.82432938,42.59989548,44.73524475,27.13761139,79.4203949,96.19794464,94.73738098,104.5433121,63.92581558,39.00955582,70.28114319,77.33547974,80.18712616
2015-01-05,109.33,93.02,129.95,91.88,27.61,112.58,93.75,45.59,194.41,103.43,162.06,36.36,104.52,62.49,42.14,93.26,164.06,57.19,46.76,47.515,31.33,90.44,105.44,100.78,115.04,66.255,46.96,76,85.9,92.83,,1/5/2015,108.64,92.74,129.9,90.42,27.45,111.2,93.35,45.24,194,102.62,161.02,36.45,104.73,62.28,42.97,93.68,163.49,58.48,46.73,47.26,31.36,90.99,105.23,100.41,115.44,65.8725,47.16,75.88,86.315,92.4,,1/5/2015,105.41,90.32,128.61,86.6,27,107.45,91.78,43.97,187.49,100.79,159.19,35.94,103.69,60.24,42.08,92.22,160.08,57.58,46.25,46.565,31.01,89.85,103.87,98.75,112.84,64.7275,46.56,74.3,85.52,89.5,,1/5/2015,108.17,92.42,129.25,90.33,27.23,110.99,93.29,45.24,193.27,102.33,160.87,36.2,104.49,62.04,42.6,93.3,162.99,58.2,46.37,47.24,31.32,90.37,105.11,100.3,114.55,65.7575,47,75.08,85.83,92.15,,1/5/2015,19446200,943199,1110970,2146236,10316172,3187133,2048312,2380736,632370,1368032,1392745,10332251,2211659,4294227,7581976,1630930,918109,5789263,15526893,1737000,7048359,2073468,605936,1681292,1333137,2900028,4745448,1606959,1904827,4292525,,1/5/2015,99.09114838,84.99214935,115.2673035,75.51024628,23.93858719,91.66488647,87.15163422,39.16514969,178.3089447,92.90531158,134.7011566,32.05004883,93.02598572,54.76900482,36.93696213,82.2355957,144.8356628,51.57971573,42.20815277,44.0150032,26.99036026,79.04278564,95.03926086,93.17691803,102.7985153,62.51475525,38.68558502,68.89402771,77.11039734,77.99308014
2015-01-06,106.25,90.56,129.05,87.03,27.06,108.08,92.38,44.18,188.34,101.26,159.51,35.95,103.79,60.55,42.14,92.23,160.36,58.04,46.325,46.75,31.16,90.01,104.17,99.12,113.12,64.7925,46.57,74.5,85.65,90.29,,1/6/2015,107.41,90.82,129.6,87.66,27.67,109.02,93.191,44.28,188.64,101.97,159.85,36.16,104.99,60.75,42.93,93.8,161.35,60.5,46.74,47.045,31.86,90.56,104.69,100.14,113.04,65.1675,47.38,76,86.75,91.41,,1/6/2015,104.64,87.96,126.2,85.18,27.04,106.48,91.44,42.98,183.93,100.36,155.2,35.26,102.95,58.36,42.24,91.88,157.81,58.32,45.54,46.035,31.13,89.26,103.07,98.46,110.23,63.715,46.47,73.94,85.8,89.02,,1/6/2015,106.5,90.79,128.91,87.25,27.12,107.78,92.57,44.22,188.3,101.83,159.67,36.16,104.23,60.67,42.38,92.9,160.82,58.34,46.35,46.945,31.3,90.31,104,99.79,112.24,65.1675,46.74,76,85.97,90.29,,1/6/2015,16085214,937994,706434,1726568,10733465,2663472,1400485,1425459,809378,1040776,922726,8731646,1936382,5199618,5116264,1433989,820854,4985017,11309588,1370488,6584412,1764000,722876,890595,1257100,1690484,4613188,1968494,1552421,3823158,,1/6/2015,99.1004715,83.18079376,113.9096375,75.02437592,23.92973709,91.62247467,86.6893692,38.53574753,174.7018738,92.62088013,131.7962341,31.45272255,92.56887054,53.34889221,37.21744156,82.38716888,143.291214,53.60593414,41.58864594,43.75608826,27.21556664,78.68275452,94.19077301,92.9888916,101.3444824,62.11192703,39.07601166,69.06970978,77.70458984,77.57843018
2015-01-07,106.26,88.63,127.53,86.47,27.05,108.03,91.89,43.47,184.53,100.95,156.07,35.28,103.28,58.98,42.46,92.4,158.65,60.32,45.65,46.475,31.42,89.6,103.24,98.92,111.52,64.375,47.04,74.69,86.31,89.81,,1/7/2015,108.19,90.54,129.96,88.12,27.4,109.72,93.15,44.15,187.99,104.47,156.57,36.07,105.83,59.81,43.1,94.05,160.27,61.62,46.46,47.64,31.87,90.36,105.05,100.27,113.34,65.285,47.04,76.68,88.68,91.47,,1/7/2015,106.7,89.54,128.74,86.42,26.98,107.51,92.1,43.24,185.8,102.53,154.04,35.27,103.81,58.67,42.59,92.86,158.94,60.39,45.5,46.55,31.59,89.57,103.66,98.92,112.25,64.3625,46.05,74.96,86.78,90,,1/7/2015,107.29,90.54,128.74,87.39,27.13,109.49,92.72,44.13,186.49,102.76,156.57,35.56,104.04,59.7,42.74,93.29,159.9,60.4,45.9,46.79,31.69,89.91,104.14,98.97,112.41,64.5125,46.84,75.05,86.87,90.65,,1/7/2015,10560182,1201110,512832,1668871,7841125,2423650,1513260,1639523,365595,1112605,871363,7786088,2183214,6354040,3549394,1333114,937646,3870530,9679564,1519994,5851041,1571338,460809,769053,833780,2099776,3987259,1570906,1908770,3441649,,1/7/2015,100.4900894,84.99746704,115.6781693,76.18700409,24.15089989,91.54614258,87.57616425,38.47369385,177.3053741,95.79541016,130.9348907,32.11244965,94.61241913,53.43030548,37.68201447,83.8227005,144.329895,54.75234222,42.11705399,44.65992737,27.58802605,79.0954895,95.79649353,93.93834686,102.4440994,62.9440918,38.82385254,70.83598328,79.76625061,78.36449432
2015-01-08,107.75,90.3,129.51,87.81,27.3,107.94,92.83,43.4,187.28,104.41,155.05,36.02,105.56,59.07,42.99,94.01,159.8,61.61,46.23,47.435,31.85,90.07,105,99.93,112.73,65.2375,46.19,76.6,88.6,90.72,,1/8/2015,112.15,91.81,131.98,89.28,28.085,110.44,94.29,44.86,190.81,106.98,159.01,36.995,106.49,60.73,43.56,94.98,163.69,62.93,47.745,48.55,32.64,91.22,107.23,104.98,115,66.275,47.235,77.94,90.66,92.26,,1/8/2015,108.7,91.01,130.5,87.84,27.5,108.6,93.555,43.86,189.31,105.02,155.58,36.34,105.75,59.98,43.12,94.06,160.52,61.88,46.77,47.94,32.22,90.13,105.72,101,113.9,65.6575,46.13,76.95,89.08,91,,1/8/2015,109.44,91.49,130.5,89.25,27.5,109.1,94,44.12,189.46,105.52,155.86,36.37,106,60,43.23,94.25,161,62,46.83,47.945,32.35,90.5,105.8,101.42,113.99,65.7125,46.37,77.3,89.34,91.25,,1/8/2015,14789895,841695,843837,1857459,14841095,2470043,1695346,3102879,433754,1401400,786741,12531832,2855512,3289582,7990160,1377132,977365,4492274,9511652,1546442,12089725,1807402,717389,1320990,894243,2497504,4530922,1751730,2027751,4655549,,1/8/2015,104.3511505,86.20232391,117.7236099,76.96786499,24.33667564,93.64100647,88.48183441,39.43111038,180.1361847,97.91482544,133.7807159,32.70975876,95.35633087,54.62427521,38.13780594,84.13477325,147.789093,55.85432816,43.3560524,45.69086456,28.15104866,79.99996185,97.78542328,98.42235565,104.1889114,63.78833389,39.65597153,71.71450806,81.44981384,79.66885376
2015-01-09,111.89,91.58,131.8,88.71,27.51,110.41,93.79,44.48,190.27,106.72,158.42,36.69,106.39,60.39,43.51,94.36,163.63,62.85,47.59,48.53,32.5,91.1,107.18,104.7,114.65,66.1125,47.18,77.55,90.47,92.23,,1/9/2015,113.25,91.65,132.25,88.88,28.07,110.22,95.26,44.99,191.16,106.52,160.26,37.1,106.5,60.79,43.54,93.97,164,63.13,47.81,48.475,32.7,91.18,107.42,104.62,115.13,65.975,47.28,77.5,90.36,92.78,,1/9/2015,110.22,90.25,130.95,87.03,27.46,107.68,94.03,44,187,104.82,157.26,36.4,104.75,59.29,42.95,92.793,161.29,62.17,46.905,47.81,32.425,90.13,105.81,102.9,113.38,64.9525,46.62,75.61,89.26,91.39,,1/9/2015,112.76,91.58,131.59,88.76,27.67,110.06,94.07,44.95,190.48,106.47,158.42,36.77,106.5,60.65,43.53,93.97,163.85,62.81,47.6,48.43,32.5,91.18,107.26,104.42,114.93,65.9025,47.27,77.31,90.3,92.22,,1/9/2015,13907205,802162,690615,1101322,12720340,2603756,2130133,1362569,509838,1093762,884213,6757657,2346805,3982123,4613983,1269519,716414,3612753,9110751,1085330,8416450,1504181,399720,1032706,1423771,3064100,3225642,1772937,1695093,4235460,,1/9/2015,104.4630508,85.11042786,117.4913788,76.048172,24.58437538,91.77513123,88.91578674,39.36904907,177.3716888,96.23579407,134.3634033,32.77216721,94.05671692,53.67452621,37.71707535,83.10939026,145.9736786,55.59660339,42.99164581,45.18716431,28.28097534,79.25354767,96.55375671,97.50109863,103.6163712,62.8427887,39.30295181,69.97596741,80.44149017,79.55654144
2015-01-12,112.01,90.42,131.54,87.65,27.79,108.21,94.25,44.41,187.35,104.89,159.11,36.76,104.94,59.34,43.03,93.21,161.62,62.56,47.19,47.995,32.65,90.25,105.83,103.72,114.02,65.1325,46.76,75.67,89.35,92.1,,1/12/2015,112.5,90.89,132.25,87.66,28.2,107.38,94.76,44.4,187.5,105.27,159.25,37,105.82,59.39,43.19,93.8,162.39,63.5,47.54,48.255,32.87,90.62,106.09,104,114.74,65.4675,47.26,76,90.31,91.15,,1/12/2015,108.8,89.08,129.951,86.07,27.83,105.56,93.77,43.32,184.13,104.07,155.78,36.23,104.3,58.27,42.46,92.6,160.02,62.1,46.36,47.62,32.63,89.51,104.96,101.91,113.05,64.8175,46.67,74.84,89.23,89.83,,1/12/2015,112.46,90.75,132.24,87.65,28,107,94.69,44.38,186.58,105.17,159.11,36.81,105.32,59.32,43.12,93.53,162.39,63.05,47.42,47.955,32.71,90.44,106.06,103.94,114.46,65.26,47.05,75.8,89.27,91.13,,1/12/2015,11853233,756325,612864,959240,10273062,2916764,1427579,1370355,560317,1138588,793981,10816126,1811993,3749890,3136456,990318,687421,3513516,8780780,1688182,7473436,1375842,451593,738597,1758294,1266720,2897982,1065743,1976471,5145560,,1/12/2015,101.8890152,84.24445343,116.8929214,75.38879395,24.81438255,89.7990036,89.11391449,39.13856125,175.2131348,95.80458069,132.1087036,32.62953568,93.73406219,53.21321869,37.37522125,82.93106079,145.1789093,55.36555099,42.45412445,45.12595749,28.38492012,78.96376038,95.97897339,96.40123749,104.0071411,62.71976852,39.5719223,70.00371552,81.04468536,78.02762604
2015-01-13,109.25,89.5,130.87,86.89,28.05,105.88,94.46,44.15,185.07,104.42,156.44,36.6,104.58,58.83,42.64,93.01,160.74,62.3,46.6,47.93,32.77,89.92,105.2,102.55,114.45,65.005,47.08,75.7,90.02,90.33,,1/13/2015,112.8,91.13,133.9,87.88,28.695,107.66,96.43,44.78,189.36,106.03,159.96,37.485,106.33,59.7,43.24,94.42,164.38,63.62,47.91,48.72,33.225,91.5,107.21,105.6,116.78,66.4325,47.8,76.28,90.95,91.42,,1/13/2015,108.91,88.44,130.18,85.2,27.905,103.19,94.71,43.11,183.42,103.15,155.7,36.295,104.24,58.37,42.46,92.43,159.45,61.74,46.06,47.315,32.13,89.77,104.66,101.86,113.53,64.79,46.94,74.11,88.93,89.11,,1/13/2015,111.5,90.59,132.18,87.68,28.14,106.71,95.32,44.52,186.58,105.25,157.25,36.9,105.4,59.34,42.77,94,162,62.97,46.95,48.17,32.92,90.71,106.11,104.27,115.47,65.665,47.49,75.2,90.78,91,,1/13/2015,16932105,856479,736693,1127661,11408713,3252712,2156044,1963980,618905,1137549,711904,9069620,2623856,4490222,3362708,1485983,726197,2518429,13109600,1508696,9768211,1655990,540695,1067880,1450990,1621068,2864202,2567362,1957124,3426802,,1/13/2015,102.7936554,83.99031067,117.1608887,74.93760681,24.85861969,88.37417603,89.80258942,38.65985489,175.0805511,95.17150116,132.4211426,32.54037857,93.89538574,53.22225571,37.36645508,82.77056885,145.0704956,55.26778793,42.23547745,44.72582626,28.09907341,79.29746246,96.12496185,96.89007568,103.9071732,62.90309906,39.65597153,69.59681702,80.4054718,77.74256134
