Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DWDP,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2015-01-02,111.44,93.94,131.83,92.37,28.11,113.0,95.27,46.028999999999996,195.73,105.6,163.3,37.15,105.54,62.96,42.4,94.99,165.08,57.79,47.42,48.47,31.77,91.0,106.63,102.57,115.6,66.6675,47.22,77.11,86.71,93.05
2015-01-05,108.64,92.74,129.9,90.42,27.45,111.2,93.35,45.24,194.0,102.62,161.02,36.45,104.73,62.28,42.97,93.68,163.49,58.48,46.73,47.26,31.36,90.99,105.23,100.41,115.44,65.8725,47.16,75.88,86.315,92.4
2015-01-06,107.41,90.82,129.6,87.66,27.67,109.02,93.191,44.28,188.64,101.97,159.85,36.16,104.99,60.75,42.93,93.8,161.35,60.5,46.74,47.045,31.86,90.56,104.69,100.14,113.04,65.1675,47.38,76.0,86.75,91.41
2015-01-07,108.19,90.54,129.96,88.12,27.4,109.72,93.15,44.15,187.99,104.47,156.57,36.07,105.83,59.81,43.1,94.05,160.27,61.62,46.46,47.64,31.87,90.36,105.05,100.27,113.34,65.285,47.04,76.68,88.68,91.47
2015-01-08,112.15,91.81,131.98,89.28,28.085,110.44,94.29,44.86,190.81,106.98,159.01,36.995,106.49,60.73,43.56,94.98,163.69,62.93,47.745,48.55,32.64,91.22,107.23,104.98,115.0,66.275,47.235,77.94,90.66,92.26
2015-01-09,113.25,91.65,132.25,88.88,28.07,110.22,95.26,44.99,191.16,106.52,160.26,37.1,106.5,60.79,43.54,93.97,164.0,63.13,47.81,48.475,32.7,91.18,107.42,104.62,115.13,65.975,47.28,77.5,90.36,92.78
2015-01-12,112.5,90.89,132.25,87.66,28.2,107.38,94.76,44.4,187.5,105.27,159.25,37.0,105.82,59.39,43.19,93.8,162.39,63.5,47.54,48.255,32.87,90.62,106.09,104.0,114.74,65.4675,47.26,76.0,90.31,91.15
2015-01-13,112.8,91.13,133.9,87.88,28.695,107.66,96.43,44.78,189.36,106.03,159.96,37.485,106.33,59.7,43.24,94.42,164.38,63.62,47.91,48.72,33.225,91.5,107.21,105.6,116.78,66.4325,47.8,76.28,90.95,91.42
2015-01-14,110.49,88.41,131.29,86.21,28.045,104.4,94.8,43.74,182.33,103.39,156.49,36.91,104.43,57.0,42.59,92.05,160.53,62.9,46.24,47.185,32.71,90.15,104.99,103.48,114.14,64.64,47.34,75.42,88.5,89.89
2015-01-15,110.0,88.0,131.81,86.17,28.195,104.93,94.96,44.26,181.6,103.61,156.91,36.875,103.92,56.6,42.85,92.34,161.42,62.99,46.38,47.2,32.76,90.32,104.62,104.58,114.65,64.31,47.54,76.09,87.78,90.6
2015-01-16,107.57,86.2,131.01,84.32,27.77,105.14,95.22,44.82,180.1,104.3,157.63,36.66,104.62,56.0,42.58,91.68,162.18,63.16,46.28,46.52,32.82,91.34,106.69,106.0,116.32,63.7725,48.02,76.12,87.45,91.19
2015-01-20,108.77,87.71,132.0,84.49,28.265,106.57,95.39,45.03,178.29,104.95,157.24,36.46,102.03,56.39,43.32,91.88,163.4,63.3,46.645,46.94,33.11,91.78,107.23,106.38,117.73,64.92,48.24,76.49,87.68,91.77
2015-01-21,111.05,87.72,132.87,85.4,28.18,108.27,94.69,44.78,178.39,104.06,154.45,36.68,102.1,56.42,43.425,90.45,163.36,62.78,46.13,47.055,33.06,91.01,106.04,109.45,119.29,64.9075,48.395,76.45,86.9,91.98899999999999
2015-01-22,112.47,86.12,136.21,87.34,28.51,109.12,95.38,45.46,182.56,106.3,155.71,36.995,103.83,57.73,43.83,90.97,165.98,62.66,47.135,48.055,32.83,91.68,108.23,114.12,120.67,64.75,48.23,76.21,88.38,92.96
2015-01-23,113.75,85.31,135.78,87.0,28.5,108.73,95.52,45.33,182.98,106.48,157.6,37.03,102.92,57.85,43.75,91.64,165.94,62.99,47.39,48.37,32.87,91.17,108.14,114.32,120.93,65.125,47.93,75.95,89.26,92.48
2015-01-26,114.36,84.28,135.22,86.26,28.15,109.34,95.0,44.59,180.98,106.49799999999999,159.42,36.29,102.44,56.99,43.22,90.69,164.28,62.98,47.12,48.23,32.85,89.95,107.24,112.0,119.65,64.3225,47.08,76.09,89.15,91.93
2015-01-27,112.48,83.27,132.97,81.35,27.59,108.8,94.74,44.65,178.62,105.81,154.95,34.715,102.76,56.61,42.63,90.31,165.12,62.96,43.17,47.67,33.35,87.2,106.685,111.23,120.35,63.43,46.85,75.81,88.42,91.6
2015-01-28,118.12,83.39,141.88,81.2,27.595,108.1,94.47,44.25,177.79,107.43,154.53,34.69,102.93,56.59,42.795,89.82,166.54,62.96,42.79,47.605,32.59,86.9,106.97,110.86,119.34,63.2,47.03,75.55,88.23,90.75
2015-01-29,119.19,82.33,148.24,80.17,27.31,104.56,93.5,45.34,176.27,107.74,155.56,34.275,102.46,55.89,42.14,93.49,166.16,62.15,42.115,47.435,31.95,86.1,105.05,109.57,117.03,62.105,46.28,74.57,87.72,88.26
2015-01-30,120.0,82.19,146.85,80.82,27.11,103.28,92.92,45.71,175.64,106.84,155.24,33.98,102.0,55.49,41.93,93.29,165.22,61.93,41.57,47.17,31.79,85.22,104.11,109.3,116.23,65.8525,46.51,74.48,87.35,88.42
2015-02-02,118.69,82.25,146.58,80.88,26.87,106.13,92.05,45.67,175.6,104.99,154.66,33.745,100.85,55.64,41.62,92.66,164.61,60.92,41.37,46.34,31.65,85.14,104.62,107.34,116.69,64.06,47.14,74.97,85.87,89.59
2015-02-03,119.09,83.77,148.0,84.11,27.12,110.1,94.11,47.05,180.47,107.32,158.59,34.04,102.56,56.78,41.85,93.97,166.19,61.06,41.93,46.695,32.155,86.0,106.09,108.0,119.52,65.1,47.97,75.23,86.52,92.33
2015-02-04,120.51,84.46,148.38,83.3,27.22,109.27,101.94,46.66,180.67,109.0,158.7,33.835,102.34,57.07,42.09,94.42,165.81,59.95,42.21,46.635,32.27,86.47,107.36,108.74,119.0,66.6825,48.3,75.53,87.03,92.27
2015-02-05,120.23,84.93,148.87,83.63,27.295,110.11,102.84,48.0,181.6,109.26,158.59,33.985,102.56,57.02,41.81,94.83,166.58,59.25,42.63,46.79,33.2,86.77,107.48,109.75,120.36,67.95,48.1,75.09,87.35,92.54
2015-02-06,120.25,86.01,148.879,84.13,27.66,110.455,102.99,48.5,184.6,109.74,158.07,34.0,102.44,58.72,41.76,94.48,167.67,59.77,42.79,46.73,33.41,86.54,108.06,109.4,121.02,68.1075,49.73,76.75,88.0,92.26
2015-02-09,119.83,85.25,148.15,84.87,27.405,111.5,102.5,48.87,182.94,109.43,157.46,33.24,101.0,58.09,41.45,93.45,165.54,58.998999999999995,42.73,45.805,33.36,85.42,106.16,107.24,119.91,67.0725,49.46,76.45,87.19,92.29
2015-02-10,122.15,85.96,148.71,85.0,27.535,110.6,102.19,48.62,184.8,110.85,158.56,33.73,100.7,58.7,42.94,94.23,166.14,59.26,42.76,46.545,34.21,85.485,106.76,109.45,120.15,66.9,49.56,76.69,87.41,91.67
2015-02-11,124.92,86.18,148.37,83.67,27.65,110.18,102.02,48.39,188.1,110.79,159.06,33.75,100.78,58.65,42.48,94.33,164.96,58.96,42.63,46.36,34.51,86.2,107.92,110.06,119.06,66.5725,49.88,79.94,87.12,90.83
2015-02-12,127.475,81.52,148.56,84.25,29.575,111.05,103.85,49.46,190.0,112.2,159.5,34.13,100.53,59.71,42.655,95.6,165.95,59.105,43.09,46.325,34.96,86.14,108.16,110.78,119.96,67.7275,49.99,80.61,86.67,92.66
2015-02-13,127.27,79.75,149.84,85.49,29.5,112.83,104.4,49.81,191.31,112.38,160.8,34.365,99.67,60.22,42.05,95.85,166.62,58.93,43.87,46.28,34.94,86.15,108.4,109.82,121.38,68.145,49.59,79.89,86.15,93.45
2015-02-17,128.87,79.32,149.95,85.58,29.35,112.93,104.38,49.75,190.6,112.22,161.4,34.75,100.47,60.13,41.88,95.39,166.92,58.97,44.0,46.45,34.84,86.0,108.45,109.76,121.9,67.993,49.32,78.49,85.97,93.07
2015-02-18,128.78,80.27,151.59,85.8,29.55,111.63,104.33,49.68,189.96,112.16,162.46,34.7,100.75,59.83,41.79,94.79,167.51,58.86,43.69,46.88,34.57,86.39,108.1,110.2,122.65,67.75,49.31,77.93,86.3,91.99
2015-02-19,129.02,79.97,154.24,84.0,29.38,109.58,104.06,49.88,189.85,112.44,164.49,34.42,100.83,59.48,42.24,94.54,167.52,58.99,43.525,47.13,34.47,86.29,108.28,110.35,123.0,67.5,49.13,78.33,84.78,90.41
2015-02-20,129.5,79.88,158.83,84.61,29.66,108.86,104.68,49.8,191.64,112.25,164.34,34.565,100.36,59.89,42.01,94.48,168.26,58.47,43.875,47.645,34.58,85.05,108.08,112.8,124.45,68.25,48.98,77.22,84.38,89.94
2015-02-23,133.0,80.477,155.91,83.98,29.645,108.5,105.22,49.72,190.5,113.16,164.25,34.49,100.69,59.53,42.17,94.41,168.86,58.65,44.19,47.61,34.51,85.5,107.63,116.48,124.15,68.32,48.99,78.85,84.85,89.54
2015-02-24,133.6,81.7,154.78,84.68,29.71,108.24,105.04,50.22,193.23,117.88,164.99,34.485,101.05,61.25,42.33,95.33,169.24,58.56,44.3,47.77,34.34,85.73,107.91,116.55,124.13,68.4325,49.41,80.78,84.81,89.78
2015-02-25,131.6,82.245,154.74,85.35,29.56,108.78,105.97,50.14,192.45,117.13,164.83,34.145,101.29,61.27,42.24,99.3,169.66,58.97,44.09,48.6,34.78,85.792,107.75,115.48,124.33,68.5425,49.39,80.41,84.7,89.68
2015-02-26,130.87,83.47,152.38,84.98,29.99,107.78,105.71,49.84,192.43,116.41,164.12,33.875,103.18,61.7,42.55,99.88,169.97,59.14,44.23,48.665,34.72,85.76,108.03,114.6,123.55,68.625,49.455,81.83,83.86,89.0
2015-02-27,130.57,83.35,151.889,84.09,29.91,107.633,105.12,49.65,192.5,115.66,162.23,33.64,103.16,61.915,43.66,99.3,169.75,59.05,44.14,48.695,34.66,85.38,108.22,114.24,122.81,68.5,49.66,83.77,84.16,89.28
2015-03-02,130.28,82.21,154.15,83.07,30.31,106.31,105.98,49.45,191.92,117.06,161.86,34.125,103.41,61.83,43.28,101.09,170.5,58.89,44.19,49.43,34.8,85.41,107.96,114.85,123.49,69.5725,49.51,84.03,84.0,88.52
2015-03-03,129.52,81.92,156.91,83.79,30.11,106.2,106.63,49.49,192.72,116.12,161.75,34.38,103.0,61.99,43.16,100.44,169.54,58.63,43.82,49.235,34.89,85.44,107.76,114.23,122.86,69.5725,49.68,83.43,83.815,87.86
2015-03-04,129.56,81.34,155.22,82.58,29.52,105.49,106.0,50.13,190.79,115.47,160.56,34.405,102.05,62.16,42.9,100.48,168.22,58.65,43.21,48.925,34.765,85.24,107.27,113.96,121.32,68.75,49.53,83.25,83.2,87.94
