Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DWDP,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2015-01-02,107.35,92.15,129.1,90.67,27.385,110.89,92.85,45.29,192.78,102.68,161.0,36.115,104.13,62.08,41.81,93.06,162.73,57.03,46.54,47.06,31.22,89.92,104.96,100.02,113.8,65.6525,46.91,75.1,85.55,91.81
2015-01-05,105.41,90.32,128.61,86.6,27.0,107.45,91.78,43.97,187.49,100.79,159.19,35.94,103.69,60.24,42.08,92.22,160.08,57.58,46.25,46.565,31.01,89.85,103.87,98.75,112.84,64.7275,46.56,74.3,85.52,89.5
2015-01-06,104.64,87.96,126.2,85.18,27.04,106.48,91.44,42.98,183.93,100.36,155.2,35.26,102.95,58.36,42.24,91.88,157.81,58.32,45.54,46.035,31.13,89.26,103.07,98.46,110.23,63.715,46.47,73.94,85.8,89.02
2015-01-07,106.7,89.54,128.74,86.42,26.98,107.51,92.1,43.24,185.8,102.53,154.04,35.27,103.81,58.67,42.59,92.86,158.94,60.39,45.5,46.55,31.59,89.57,103.66,98.92,112.25,64.3625,46.05,74.96,86.78,90.0
2015-01-08,108.7,91.01,130.5,87.84,27.5,108.6,93.555,43.86,189.31,105.02,155.58,36.34,105.75,59.98,43.12,94.06,160.52,61.88,46.77,47.94,32.22,90.13,105.72,101.0,113.9,65.6575,46.13,76.95,89.08,91.0
2015-01-09,110.22,90.25,130.95,87.03,27.46,107.68,94.03,44.0,187.0,104.82,157.26,36.4,104.75,59.29,42.95,92.79299999999999,161.29,62.17,46.905,47.81,32.425,90.13,105.81,102.9,113.38,64.9525,46.62,75.61,89.26,91.39
2015-01-12,108.8,89.08,129.951,86.07,27.83,105.56,93.77,43.32,184.13,104.07,155.78,36.23,104.3,58.27,42.46,92.6,160.02,62.1,46.36,47.62,32.63,89.51,104.96,101.91,113.05,64.8175,46.67,74.84,89.23,89.83
2015-01-13,108.91,88.44,130.18,85.2,27.905,103.19,94.71,43.11,183.42,103.15,155.7,36.295,104.24,58.37,42.46,92.43,159.45,61.74,46.06,47.315,32.13,89.77,104.66,101.86,113.53,64.79,46.94,74.11,88.93,89.11
2015-01-14,108.51,86.26,129.05,84.27,27.64,101.83,93.3,41.95,178.11,101.89,153.77,35.91,103.51,55.28,42.1,91.13,158.5,61.53,45.63,46.455,32.14,89.44,102.99,101.23,112.64,63.545,46.57,74.3,86.5,87.26
2015-01-15,106.66,85.88,129.72,84.3,27.355,102.53,94.06,43.27,177.5,100.83,154.16,36.03,101.95,54.51,42.18,90.965,159.38,61.83,45.41,46.29,32.25,89.35,103.45,103.16,113.06,63.1025,46.8,74.62,86.7,88.52
