Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DWDP,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2015-01-02,111.41,93.36,130.93,91.77,27.86,111.75,95.0,45.72,195.3,105.3,161.44,36.69,105.27,62.64,42.29,94.15,164.09,57.32,46.66,48.275,31.35,91.0,106.45,101.5,115.14,66.0675,47.08,76.11,86.26,92.26
2015-01-05,108.17,92.42,129.25,90.33,27.23,110.99,93.29,45.24,193.27,102.33,160.87,36.2,104.49,62.04,42.6,93.3,162.99,58.2,46.37,47.24,31.32,90.37,105.11,100.3,114.55,65.7575,47.0,75.08,85.83,92.15
2015-01-06,106.5,90.79,128.91,87.25,27.12,107.78,92.57,44.22,188.3,101.83,159.67,36.16,104.23,60.67,42.38,92.9,160.82,58.34,46.35,46.945,31.3,90.31,104.0,99.79,112.24,65.1675,46.74,76.0,85.97,90.29
2015-01-07,107.29,90.54,128.74,87.39,27.13,109.49,92.72,44.13,186.49,102.76,156.57,35.56,104.04,59.7,42.74,93.29,159.9,60.4,45.9,46.79,31.69,89.91,104.14,98.97,112.41,64.5125,46.84,75.05,86.87,90.65
2015-01-08,109.44,91.49,130.5,89.25,27.5,109.1,94.0,44.12,189.46,105.52,155.86,36.37,106.0,60.0,43.23,94.25,161.0,62.0,46.83,47.945,32.35,90.5,105.8,101.42,113.99,65.7125,46.37,77.3,89.34,91.25
2015-01-09,112.76,91.58,131.59,88.76,27.67,110.06,94.07,44.95,190.48,106.47,158.42,36.77,106.5,60.65,43.53,93.97,163.85,62.81,47.6,48.43,32.5,91.18,107.26,104.42,114.93,65.9025,47.27,77.31,90.3,92.22
2015-01-12,112.46,90.75,132.24,87.65,28.0,107.0,94.69,44.38,186.58,105.17,159.11,36.81,105.32,59.32,43.12,93.53,162.39,63.05,47.42,47.955,32.71,90.44,106.06,103.94,114.46,65.26,47.05,75.8,89.27,91.13
2015-01-13,111.5,90.59,132.18,87.68,28.14,106.71,95.32,44.52,186.58,105.25,157.25,36.9,105.4,59.34,42.77,94.0,162.0,62.97,46.95,48.17,32.92,90.71,106.11,104.27,115.47,65.665,47.49,75.2,90.78,91.0
2015-01-14,109.0,87.41,129.05,84.74,27.84,103.15,94.2,43.07,180.98,102.37,155.11,36.23,103.88,56.91,42.19,91.58,159.04,61.53,45.91,46.715,32.16,89.69,103.61,101.61,113.41,64.0275,46.9,74.94,87.5,89.14
2015-01-15,109.96,87.26,130.7,86.07,28.07,104.83,94.61,43.91,180.39,103.41,156.9,36.47,103.5,55.8,42.85,92.01,160.89,62.98,46.22,47.175,32.65,90.32,104.04,103.56,114.2,64.265,47.23,75.92,87.01,90.6
2015-01-16,107.03,85.5,129.75,84.21,27.36,102.78,94.01,43.26,177.04,100.89,154.15,36.1,102.06,54.68,42.35,91.05,159.68,61.95,45.3,46.405,32.29,89.95,104.58,104.53,113.72,62.935,47.18,74.47,87.28,89.05
2015-01-20,107.98,86.46,131.63,84.45,27.86,104.87,95.22,45.0,177.71,104.85,157.07,36.1,101.55,56.08,42.79,91.72,162.8,62.83,46.28,46.72,32.95,91.25,106.91,106.2,116.6,64.055,48.15,76.08,86.96,91.11
2015-01-21,108.87,87.5,130.81,83.64,28.07,106.99,94.07,43.95,174.0,102.9,153.0,35.8,100.42,55.4,42.92,90.03,161.66,62.26,45.94,46.555,32.85,90.0,105.47,106.15,117.36,63.805,47.9,75.52,86.06,91.5
2015-01-22,110.28,84.7,133.56,86.01,27.71,108.82,94.47,44.98,178.06,104.55,151.93,36.66,102.58,56.37,43.42,90.67,163.75,62.28,46.39,47.25,32.7,90.96,105.86,109.75,119.84,63.885,48.11,75.97,87.28,92.35
2015-01-23,112.32,84.43,135.69,86.79,28.38,108.55,94.92,45.21,181.8,106.21,154.98,37.0,102.9,57.56,43.56,90.89,165.82,62.54,47.37,48.1,32.85,91.17,108.14,114.0,120.58,64.7475,47.93,75.95,88.42,92.28
2015-01-26,113.65,83.76,135.02,85.36,28.1,107.05,94.38,44.39,178.06,105.36,158.37,36.15,101.8,56.31,43.18,89.5,163.4,62.32,46.93,48.0,32.47,89.88,107.0,112.0,119.53,64.235,46.98,75.76,88.31,90.69
2015-01-27,112.43,82.5,132.12,79.85,27.57,108.38,94.0,43.79,177.12,104.96,154.95,34.39,101.67,55.95,42.53,89.97,162.26,62.66,42.94,47.67,32.32,86.94,106.3,110.95,116.61,63.1375,46.63,75.11,88.25,91.22
2015-01-28,117.56,82.8,135.92,80.51,27.31,108.01,94.25,44.17,177.71,105.97,154.14,34.45,102.5,56.59,42.61,89.73,164.53,62.83,42.75,47.5,32.53,86.68,106.5,110.57,119.02,63.1325,46.9,75.55,88.02,90.75
2015-01-29,116.36,82.0,139.76,79.85,26.75,104.35,93.08,43.96,173.07,104.51,151.27,33.84,101.51,55.2,41.85,91.5,163.72,61.45,40.91,46.835,31.94,85.69,104.89,108.57,116.88,61.8825,46.0,74.4,86.76,88.09
2015-01-30,118.28,81.83,146.0,79.7,26.88,101.4,92.36,44.55,174.02,106.5,153.63,33.71,101.45,54.87,41.78,92.54,164.27,61.56,41.52,46.95,31.65,85.05,103.06,108.71,115.05,64.75,45.72,73.52,86.83,87.0
2015-02-02,118.03,81.08,144.35,80.13,26.37,103.78,91.45,45.32,172.36,104.78,154.0,33.1,100.51,54.61,41.21,92.11,162.25,60.61,40.59,46.34,31.44,84.4,102.94,106.73,115.17,63.9725,46.19,73.06,84.75,88.26
2015-02-03,118.27,82.54,146.26,81.42,26.9,107.9,92.54,46.0,175.96,105.16,154.75,33.78,101.25,55.91,41.77,92.55,165.33,60.89,41.65,46.115,31.77,85.89,104.82,107.35,118.02,64.1375,47.3,75.12,85.83,91.0
2015-02-04,118.52,83.5,146.08,82.67,27.01,108.5,99.98,46.53,178.77,107.09,157.61,33.65,102.31,56.46,41.8,93.5,165.62,59.86,41.94,46.35,31.81,86.0,105.66,107.16,118.75,65.0375,47.74,74.97,86.44,91.45
2015-02-05,120.05,84.2,147.26,82.41,26.82,109.5,100.81,46.59,179.25,108.74,157.46,33.75,101.57,56.85,41.76,94.1,165.31,59.25,42.22,46.44,32.98,86.17,106.46,108.68,118.26,66.8125,48.09,74.94,87.15,92.4
2015-02-06,120.1,85.11,148.13,83.6,27.37,109.94,102.55,48.13,182.0,109.35,157.19,33.94,102.15,57.75,41.55,94.09,166.23,59.06,42.75,46.69,32.99,86.51,107.41,108.59,120.0,67.9375,48.1,74.98,87.26,92.22
2015-02-09,118.52,84.32,145.81,83.05,27.21,109.98,101.63,48.21,181.38,108.94,156.0,33.03,100.9,57.42,41.35,93.25,164.38,58.79,42.25,45.75,33.0,85.28,105.5,106.93,119.44,66.8525,49.0,75.64,86.97,91.46
2015-02-10,120.26,85.56,148.2,85.0,27.18,110.43,102.08,48.5,183.0,108.81,156.74,33.25,100.03,58.39,42.9,93.3,165.4,59.11,42.74,45.61,33.48,85.33,106.14,107.39,119.89,66.6875,49.26,76.31,86.63,91.67
2015-02-11,122.82,85.87,147.46,83.48,27.6,109.08,101.87,48.21,183.96,110.58,157.87,33.67,100.46,58.09,42.12,94.16,164.48,58.75,42.55,46.245,34.06,85.99,106.58,108.72,118.6,66.245,49.37,76.8,86.69,90.0
