Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DWDP,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2015-01-02,14781833,772979,838216,885198,6826100,1785653,1903225,1164349,472170,1121580,1566645,6723101,1752063,3162748,2992098,1366064,710350,2252356,8934193,1380426,4819704,2119310,407301,863236,941492,2310008,2974250,2136720,1150636,2970478
2015-01-05,19446200,943199,1110970,2146236,10316172,3187133,2048312,2380736,632370,1368032,1392745,10332251,2211659,4294227,7581976,1630930,918109,5789263,15526893,1737000,7048359,2073468,605936,1681292,1333137,2900028,4745448,1606959,1904827,4292525
2015-01-06,16085214,937994,706434,1726568,10733465,2663472,1400485,1425459,809378,1040776,922726,8731646,1936382,5199618,5116264,1433989,820854,4985017,11309588,1370488,6584412,1764000,722876,890595,1257100,1690484,4613188,1968494,1552421,3823158
2015-01-07,10560182,1201110,512832,1668871,7841125,2423650,1513260,1639523,365595,1112605,871363,7786088,2183214,6354040,3549394,1333114,937646,3870530,9679564,1519994,5851041,1571338,460809,769053,833780,2099776,3987259,1570906,1908770,3441649
2015-01-08,14789895,841695,843837,1857459,14841095,2470043,1695346,3102879,433754,1401400,786741,12531832,2855512,3289582,7990160,1377132,977365,4492274,9511652,1546442,12089725,1807402,717389,1320990,894243,2497504,4530922,1751730,2027751,4655549
2015-01-09,13907205,802162,690615,1101322,12720340,2603756,2130133,1362569,509838,1093762,884213,6757657,2346805,3982123,4613983,1269519,716414,3612753,9110751,1085330,8416450,1504181,399720,1032706,1423771,3064100,3225642,1772937,1695093,4235460
2015-01-12,11853233,756325,612864,959240,10273062,2916764,1427579,1370355,560317,1138588,793981,10816126,1811993,3749890,3136456,990318,687421,3513516,8780780,1688182,7473436,1375842,451593,738597,1758294,1266720,2897982,1065743,1976471,5145560
2015-01-13,16932105,856479,736693,1127661,11408713,3252712,2156044,1963980,618905,1137549,711904,9069620,2623856,4490222,3362708,1485983,726197,2518429,13109600,1508696,9768211,1655990,540695,1067880,1450990,1621068,2864202,2567362,1957124,3426802
2015-01-14,13730675,1646528,750281,1522022,9829839,3138332,1606032,2532488,1762161,1059633,804882,10217184,2684965,9376746,3956575,1674490,606668,2655787,12517740,1697382,10796436,1546276,711916,1144805,1015235,1965380,4021333,1196156,2563248,4935778
2015-01-15,16696936,1034112,874466,1026644,9752060,2594208,1491799,1179800,611333,2005532,779030,12146204,2552269,5900740,2604919,1243993,607883,2295331,12629975,1218274,7496653,1937515,494651,1084432,972854,1898124,3129553,1006228,2054374,3640242
2015-01-16,20192730,1521606,1031005,2497760,9527926,4079198,2123872,2096707,1104234,1719547,1910152,17725718,4153910,7282572,4818907,2485393,927497,3868611,15539776,2628764,9183598,3382188,767136,1468327,1883360,2561872,5640024,1856341,2241095,5681114
2015-01-20,15067738,1375015,779214,1336730,9710019,3085071,3793296,2704399,793780,1612179,1847254,9632315,4800433,5601122,4552531,2554589,595035,3176638,12828310,2081586,10924401,3487501,719945,1085680,1145788,2788860,5479062,958071,1954752,3764515
2015-01-21,12514922,1449382,594724,1434405,6642683,2616532,1931631,1510133,724967,1125704,1852085,7241351,2465944,4209598,2404630,1979295,461325,2396068,12206167,1471162,8409729,1977001,653691,2198606,1546955,2264164,5936533,881637,1991456,3433987
2015-01-22,15263438,2691463,979977,1255718,15584789,1923573,1780215,1611195,784175,1110671,1153686,10924467,2493912,6020965,2769672,1664880,705272,2458283,11823196,1804386,6496494,2444445,808893,1697729,1472046,2148500,6594565,1085785,1545756,3661335
2015-01-23,11072225,1799197,910137,1380912,5741598,2438602,1343593,1262458,894637,902135,1105607,9254652,2847447,3951590,2922623,2501103,706578,2106382,8647922,1732546,7292829,2035000,574141,1196818,1186769,1839056,6818948,1388040,2698539,4167013
2015-01-26,14351861,1565725,771506,1668000,5364938,2228048,1227995,1401673,627077,1124541,1141118,7535530,2776227,2816266,3585327,1947710,701195,1971703,14981247,1283168,6905790,2258576,603057,978461,1446898,1849164,4099543,823608,1107379,2786688
2015-01-27,23695438,1665728,891371,4540639,12752392,1746587,1523956,1264779,811967,1011353,958096,13518540,2569334,3367068,4149889,1760018,978855,1936352,40757642,1915944,8351586,2960270,657928,987389,1824077,1855592,3452039,992936,1659630,3126740
2015-01-28,33074118,2225480,2262801,2247583,10163720,2732177,1642177,1876460,718625,1114558,987639,9136853,2512160,4502298,3747639,1678376,898873,2604706,21506362,1915552,6315910,2982887,726780,1621940,1279008,3803848,4141605,1460833,1711728,4370854
2015-01-29,20300341,1626584,2181385,1969315,9900518,3062657,2286050,2525927,572587,1282261,1386087,8998628,2160065,4354424,3586820,3361744,987555,2544247,16448982,2330226,8012617,2701159,792863,981432,1708204,2190036,4209798,1281136,1726976,5074183
