,reward,action_size,action_sym,action_asym,recent_pl_change,change_inven_pnl,diff_market_share,curr_mp,current_inventory,current_market_share,total_volume,bp,spread,bid_5,bid_4,bid_3,bid_2,bid_1,ask_1,ask_2,ask_3,ask_4,ask_5
0,-0.05,4.999999873689376e-06,-0.7606152892112732,-0.7541963458061218,0.0,0.0,0.1,100.1,0.0,0.0,543.0,1000000000.0,0.06,55.0,31.0,55.0,71.0,41.0,57.0,36.0,99.0,57.0,41.0
1,-0.04428104575163399,7.458205072907731e-05,-0.30283117294311523,1.0,0.0,0.0,0.08856209150326798,100.1,700.0,0.011437908496732025,612.0,999929909.0,0.06,55.0,31.0,119.0,71.0,36.0,50.0,36.0,7.0,99.0,108.0
2,-1.3882246376810827,6.015865074004978e-05,-0.3948022127151489,-0.5953943133354187,-29.9999999999983,0.0,0.07644927536231885,100.1,100.0,0.02355072463768116,552.0,999929927.0,0.06,55.0,31.0,211.0,71.0,36.0,22.0,36.0,63.0,7.0,20.0
3,-0.035139860139860146,2.1276720872265287e-05,-0.40168893337249756,0.5795522928237915,0.0,0.0,0.07027972027972029,100.125,100.0,0.02972027972027972,572.0,999909903.0,0.01,189.0,71.0,91.0,45.0,2.0,27.0,55.0,65.0,7.0,20.0
4,-0.02875,4.999999873689376e-06,-0.354053258895874,-0.15780913829803467,0.0,0.0,0.0575,100.125,300.0,0.0425,400.0,999909903.0,0.01,71.0,91.0,45.0,22.0,2.0,22.0,55.0,65.0,7.0,20.0
5,-0.03220338983050848,3.386415482964367e-05,1.0,1.0,0.0,0.0,0.06440677966101696,100.095,300.0,0.03559322033898305,590.0,999879867.0,0.01,31.0,156.0,71.0,91.0,45.0,47.0,22.0,55.0,65.0,7.0
6,-0.07159851485148652,4.999999873689376e-06,-0.5777460336685181,0.007032275199890137,0.0,9.000000000000341,0.0702970297029703,100.125,600.0,0.0297029702970297,606.0,999879873.0,0.01,156.0,71.0,91.0,50.0,66.0,22.0,58.0,65.0,7.0,20.0
7,-0.06741632503660461,4.323256143834442e-05,0.7773141860961914,-1.0,0.0,9.000000000000341,0.06193265007320645,100.125,600.0,0.03806734992679356,683.0,999839829.0,0.01,156.0,71.0,91.0,30.0,66.0,22.0,102.0,65.0,73.0,7.0
8,0.0871465367966377,5.6368902733083814e-05,1.0,-1.0,2.5000000000019966,2.9999999999972715,0.026406926406926406,100.13,200.0,0.0735930735930736,462.0,999799793.0,0.02,71.0,91.0,30.0,4.0,34.0,68.0,65.0,73.0,7.0,19.0
9,-0.005110797342155877,5.94865414313972e-05,-1.0,0.7250149250030518,1.000000000000501,6.999999999996476,0.043521594684385385,100.11,200.0,0.05647840531561462,602.0,999699661.0,0.02,31.0,156.0,71.0,121.0,4.0,6.0,68.0,65.0,73.0,7.0
10,-0.027924020113422078,3.757445665542036e-05,1.0,-1.0,0.8392857142865999,9.000000000000341,0.058483754512635384,100.135,-500.0,0.04151624548736462,554.0,999769758.42,0.03,156.0,71.0,89.0,23.0,58.0,38.0,73.0,7.0,19.0,20.0
