,timestep,Type,Status,Symbol,Size,Executed_size,Price,Executed Price,ID
0,2023-10-19 11:33:41.960969,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.47,100.5327,984e73e9-6a8a-4bde-bcad-1a2e9045fabb
1,2023-10-19 11:33:42.962630,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.55,100.55000000000001,4e063d07-85ee-43da-a519-0e32e2ae10e0
2,2023-10-19 11:33:43.963267,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.53,100.53000000000003,3aa2201b-0bc4-495a-801f-c6444bf8f2df
3,2023-10-19 11:33:44.965027,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.5,100.50843333333333,f4df95ab-dd48-4edb-8197-b5e06873cf77
4,2023-10-19 11:33:45.966677,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.46000000000001,100.48243333333333,d13b54c2-14fd-4d32-92f0-7878e5f811d7
5,2023-10-19 11:40:27.067631,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.42,100.42000000000003,e26883ad-42c9-444d-a238-fad838c6ed17
6,2023-10-19 11:40:28.069496,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.38,100.39450000000001,17e4b7e7-ef8e-4d10-a9f8-d5662d04deb0
7,2023-10-19 11:40:29.071220,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.34,100.39,93c6cb13-72f8-45e9-b474-49f3bfcd5559
8,2023-10-19 11:40:30.072923,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.39,100.3934,a052cb5b-08b1-44dd-8c88-de8a52717673
9,2023-10-19 11:40:31.073820,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.36,100.37903333333333,ff08b01a-4ff2-421c-9931-413e8d1c4b93
10,2023-10-19 11:47:12.096098,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.31,100.35623333333334,694d0a16-9644-44fc-a953-c72db21022ef
11,2023-10-19 11:47:13.097624,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.33,100.35059999999999,a9533aae-6714-4746-a3dd-06c98edd3e96
12,2023-10-19 11:47:14.099300,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.37,100.37000000000002,df485e3e-3cc5-441c-bb4c-5d68d6b1835b
13,2023-10-19 11:47:15.100814,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.3,100.3424,1f388267-1d56-459d-ab4e-c0ab04f46651
14,2023-10-19 11:47:16.102234,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.29,100.33553333333334,ad6aba56-fb57-4cb6-a086-2d940b65ab17
15,2023-10-19 11:53:57.197078,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.48,100.47999999999998,5064098b-c9fd-4073-87fa-c74b05dc793c
16,2023-10-19 11:53:58.197879,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.44,100.43999999999997,a573aa65-4c69-4b39-9b1c-97a80ee8147b
17,2023-10-19 11:53:59.199278,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.41,100.42226666666667,19419ded-b512-428d-98e4-747ea9203ef3
18,2023-10-19 11:54:00.200922,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.41,100.4138,d3c033f0-962f-4b92-9426-a4d57bf4ac26
19,2023-10-19 11:54:01.202489,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.36,100.39143333333335,2e8999e2-3f28-4a21-92a2-63710706bcc5
20,2023-10-19 12:00:42.303490,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.26,100.3189,ba1aa5ed-ad40-4129-bafc-d8a557de116f
21,2023-10-19 12:00:43.305186,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.32000000000001,100.31999999999995,5b9f4d21-aa4e-4c9c-8a34-a4e494515b4f
22,2023-10-19 12:00:44.306833,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.18,100.26723333333332,bdceb1e5-7e25-4277-a574-c22c82e466ad
23,2023-10-19 12:00:45.308532,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.23,100.24646666666666,b0c4b25a-43dd-405e-a886-7e9c285de251
24,2023-10-19 12:00:46.310189,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.07000000000001,100.20753333333334,8b6a6ee1-7438-417a-8960-7e7280326d6a
25,2023-10-19 12:07:27.381468,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.3,100.37986666666666,ce25abd6-17ca-459b-87bc-5bd4fd9d3618
26,2023-10-19 12:07:28.383123,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.09,100.37,d3db0c6b-11f1-415b-8c55-ca61a102418c
27,2023-10-19 12:07:29.384741,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.3,100.37013333333333,f559daf1-d949-4fe0-90ca-8e864e2dea5c
28,2023-10-19 12:07:30.386177,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.06,100.36,a635f39e-061c-4131-a82b-e6bc122f36ff
29,2023-10-19 12:07:31.387966,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.25,100.3452,a269ae9f-d184-4045-a139-7d93c667c869
30,2023-10-19 12:14:12.489535,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.28,100.28000000000003,f41f418f-aac5-4f8d-9911-d9bc6d443388
31,2023-10-19 12:14:13.491824,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.25,100.26163333333334,48bba2e6-bb70-4138-81e6-9e802c32e9e0
32,2023-10-19 12:14:14.494939,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.17,100.24576666666667,4eef74fa-6ea0-4dcb-82be-95cd38de46ae
33,2023-10-19 12:14:15.497619,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.19,100.21839999999999,35fa6fb1-504f-4611-8db5-e783a636f6de
34,2023-10-19 12:14:16.499454,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.28,100.28286666666668,5c4858ce-c2ee-420c-a2f6-733675361c7c
35,2023-10-19 12:20:57.599515,Type.LIMIT_SELL,Status.FILLED,CS1,300,300,100.29,100.29,4bcfce34-512a-4a4c-a586-bacfd275d97e
